apc.00;apc.10;apc.01;apc.11;kras.00;kras.10;kras.01;kras.11;p53.00;p53.10;p53.01;p53.11
0.9948;0.0036;0.0016;0;0.9948;0.0028;0.0024;0;0.9944;0.0016;0.004;0
0.9896;0.0068;0.0036;0;0.9908;0.0056;0.0036;0;0.9916;0.0036;0.0048;0
0.986;0.0088;0.0052;0;0.9856;0.01;0.0044;0;0.9864;0.0056;0.008;0
0.9804;0.0116;0.008;0;0.9796;0.0144;0.006;0;0.9812;0.0088;0.01;0
0.9748;0.0148;0.0096;0.0008;0.9728;0.0192;0.008;0;0.9752;0.0124;0.0124;0
0.972022382;0.01558753;0.011590727;0;0.966826539;0.023181455;0.009992006;0;0.970023981;0.013988809;0.01598721;0
0.967226219;0.018385292;0.013589129;0;0.962030376;0.026778577;0.011191047;0;0.966027178;0.01518785;0.018784972;0
0.963229416;0.020783373;0.01518785;0;0.957234213;0.03077538;0.011990408;0;0.960431655;0.017585931;0.021982414;0
0.958433253;0.021982414;0.018784972;0;0.952038369;0.033573141;0.014388489;0;0.955635492;0.019584333;0.024780176;0
0.954036771;0.023980815;0.021183054;0;0.948041567;0.035971223;0.01598721;0;0.950839329;0.022382094;0.026778577;0
0.946464243;0.028365961;0.023971235;0.001198562;0.942868558;0.039153016;0.017978426;0;0.944067119;0.024370755;0.031562125;0
0.941693291;0.029552716;0.027555911;0.001198083;0.935702875;0.042332268;0.021964856;0;0.937699681;0.028354633;0.033945687;0
0.93493014;0.031936128;0.031936128;0.001197605;0.926147705;0.04750499;0.026347305;0;0.930139721;0.032335329;0.03752495;0
0.927345309;0.033932136;0.03752495;0.001197605;0.916167665;0.055489022;0.028343313;0;0.924151697;0.036726547;0.039121756;0
0.924181963;0.036312849;0.038308061;0.001197127;0.908619314;0.060654429;0.030726257;0;0.919393456;0.038707103;0.041899441;0
0.916999202;0.040303272;0.041500399;0.001197127;0.898244214;0.069034318;0.032721468;0;0.915403033;0.039505188;0.044293695;0
0.909852413;0.042680495;0.046270443;0.001196649;0.886318309;0.076984444;0.036697248;0;0.909852413;0.042680495;0.046270443;0.001196649
0.904268049;0.045472677;0.049062625;0.001196649;0.873952932;0.085759872;0.040287196;0;0.904268049;0.047467092;0.046669326;0.001595533
0.902672517;0.046669326;0.049461508;0.001196649;0.863183087;0.091743119;0.045073793;0;0.899481452;0.049860391;0.048663742;0.001994416
0.899920255;0.046650718;0.052232855;0.001196172;0.853269537;0.094497608;0.051435407;0;0.893141946;0.052232855;0.051435407;0.003189793
0.894736842;0.04784689;0.055422648;0.00199362;0.842503987;0.100478469;0.055821372;0.001196172;0.887559809;0.052232855;0.056220096;0.003987241
0.888490641;0.050975707;0.058144166;0.002389486;0.833930705;0.105535643;0.058542413;0.001991239;0.880127439;0.054161689;0.060135404;0.005575468
0.88455414;0.052149682;0.060111465;0.003184713;0.824840764;0.112261146;0.060509554;0.002388535;0.872213376;0.056528662;0.064490446;0.006767516
0.879077168;0.054494829;0.063245823;0.00318218;0.817024662;0.11734288;0.062848051;0.002784407;0.865552904;0.057279236;0.069212411;0.007955449
0.87718601;0.055643879;0.063990461;0.00317965;0.811605723;0.11645469;0.067170111;0.004769475;0.858505564;0.058823529;0.073131955;0.009538951
0.873959572;0.059453032;0.059849386;0.00673801;0.800634166;0.120887832;0.073325406;0.005152596;0.854141895;0.057074911;0.078478002;0.010305192
0.867588933;0.066007905;0.058498024;0.007905138;0.790513834;0.124901186;0.078656126;0.005928854;0.847826087;0.061264822;0.079841897;0.011067194
0.863744076;0.065955766;0.06121643;0.009083728;0.778436019;0.132701422;0.08135861;0.007503949;0.838862559;0.066745656;0.08135861;0.013033175
0.854616896;0.068762279;0.064440079;0.012180747;0.76502947;0.136345776;0.08762279;0.011001965;0.829862475;0.069548134;0.083693517;0.016895874
0.849901768;0.069548134;0.067976424;0.012573674;0.753634578;0.142239686;0.092337917;0.011787819;0.825540275;0.071119843;0.085265226;0.018074656
0.843921569;0.070980392;0.071764706;0.013333333;0.74;0.150196078;0.096862745;0.012941176;0.822352941;0.074117647;0.083921569;0.019607843
0.838936669;0.069976544;0.074276779;0.016810008;0.725566849;0.159890539;0.100860047;0.013682565;0.821344801;0.073103987;0.083659109;0.021892103
0.829770696;0.070734551;0.079284881;0.020209872;0.711232025;0.168286047;0.10415857;0.016323358;0.81422464;0.07617567;0.085114652;0.024485037
0.826154443;0.069460613;0.083042297;0.021342646;0.69887466;0.175397749;0.108653473;0.017074117;0.812960807;0.076833527;0.085758634;0.024447031
0.816879597;0.072783585;0.089043748;0.02129307;0.68873403;0.179636082;0.114595432;0.017034456;0.809910956;0.077429346;0.088269454;0.024390244
0.813539652;0.074274662;0.090522244;0.021663443;0.679690522;0.185686654;0.1172147;0.017408124;0.808897485;0.079303675;0.087427466;0.024371373
0.79199698;0.074367686;0.090977727;0.042657607;0.653831635;0.188372971;0.117402794;0.040392601;0.785579464;0.081540204;0.085692714;0.047187618
0.795057034;0.074904943;0.09581749;0.034220532;0.647908745;0.199619772;0.118631179;0.033840304;0.790494297;0.086311787;0.083269962;0.039923954
0.784958428;0.077475435;0.097883598;0.03968254;0.634542706;0.212773998;0.121315193;0.031368103;0.783068783;0.088435374;0.08276644;0.045729403
0.782477341;0.079305136;0.100830816;0.037386707;0.627643505;0.219410876;0.124244713;0.028700906;0.78021148;0.090256798;0.086102719;0.043429003
0.783100717;0.080347039;0.101093927;0.035458318;0.618257261;0.223311958;0.129762354;0.028668427;0.777819691;0.092417955;0.087514146;0.042248208
0.775810098;0.085154484;0.104747551;0.034287867;0.607761869;0.226073851;0.138658628;0.027505652;0.768274303;0.098718915;0.09118312;0.041823662
0.769346356;0.086025545;0.109691961;0.034936138;0.598797896;0.232531931;0.140871525;0.027798648;0.761457551;0.102930128;0.093538693;0.042073629
0.771310552;0.085242208;0.110401802;0.033045437;0.58918513;0.238452873;0.144573789;0.027788209;0.754412317;0.107022155;0.098009763;0.040555764
0.724162257;0.081128748;0.106525573;0.088183422;0.544268078;0.225396825;0.142857143;0.087477954;0.705820106;0.102645503;0.094885362;0.09664903
0.716334383;0.080447709;0.10703043;0.096187478;0.530255334;0.246939489;0.152151102;0.070654075;0.694298706;0.103882476;0.096537251;0.105281567
0.726492671;0.085091169;0.115480872;0.072935288;0.533071148;0.249553093;0.160171612;0.057204147;0.710404004;0.105827673;0.099749732;0.084018591
0.741360495;0.087304474;0.12077119;0.050563841;0.533648599;0.255001819;0.167333576;0.044016006;0.722444525;0.107675518;0.105492907;0.06438705
