apc.00;apc.10;apc.11;kras.00;kras.10;kras.11;p53.00;p53.10;p53.11
0.9968;0.0032;0;0.9944;0.0056;0;0.996;0.004;0
0.9916;0.0084;0;0.9884;0.0116;0;0.9916;0.0084;0
0.9888;0.0112;0;0.9848;0.0152;0;0.986;0.014;0
0.982;0.018;0;0.9804;0.0196;0;0.9804;0.0196;0
0.9768;0.0232;0;0.974;0.026;0;0.9756;0.0244;0
0.972;0.028;0;0.968;0.032;0;0.9716;0.0284;0
0.9652;0.0348;0;0.9628;0.0372;0;0.9664;0.0336;0
0.9608;0.0392;0;0.958;0.042;0;0.9608;0.0392;0
0.9556;0.0444;0;0.9528;0.0472;0;0.9556;0.0444;0
0.9508;0.0492;0;0.9468;0.0532;0;0.9508;0.0492;0
0.946;0.054;0;0.9408;0.0592;0;0.9452;0.0548;0
0.9408;0.0592;0;0.9348;0.0652;0;0.9396;0.0604;0
0.9348;0.0652;0;0.9264;0.0736;0;0.936;0.064;0
0.9304;0.0696;0;0.9176;0.0824;0;0.9304;0.0696;0
0.9252;0.0748;0;0.9104;0.0896;0;0.924;0.076;0
0.9228;0.0772;0;0.9012;0.0988;0;0.9196;0.0804;0
0.9184;0.0816;0;0.8912;0.1088;0;0.9116;0.0884;0
0.9124;0.0876;0;0.8812;0.1188;0;0.908;0.092;0
0.9048;0.0952;0;0.8692;0.1308;0;0.9024;0.0976;0
0.9004;0.0996;0;0.8564;0.1436;0;0.8984;0.1016;0
0.8956;0.1044;0;0.8472;0.1528;0;0.8936;0.1064;0
0.8908;0.1092;0;0.8356;0.1644;0;0.8876;0.1124;0
0.8876;0.1124;0;0.8256;0.1744;0;0.8836;0.1164;0
0.884;0.116;0;0.8164;0.1836;0;0.8812;0.1188;0
0.8808;0.1192;0;0.8068;0.1932;0;0.8764;0.1236;0
0.8728;0.1272;0;0.7964;0.2036;0;0.8684;0.1316;0
0.8704;0.1296;0;0.7852;0.2148;0;0.8648;0.1352;0
0.866;0.134;0;0.7768;0.2232;0;0.8576;0.1424;0
0.8624;0.1376;0;0.766;0.234;0;0.8536;0.1464;0
0.8564;0.1436;0;0.7572;0.2428;0;0.8516;0.1484;0
0.8456;0.1544;0;0.7484;0.2516;0;0.8448;0.1552;0
0.8384;0.1616;0;0.7404;0.2596;0;0.8416;0.1584;0
0.8316;0.1684;0;0.73;0.27;0;0.8376;0.1624;0
0.8204;0.1796;0;0.72;0.28;0;0.8344;0.1656;0
0.8148;0.1852;0;0.7092;0.2908;0;0.83;0.17;0
0.8108;0.1892;0;0.6988;0.3012;0;0.8236;0.1764;0
0.8072;0.1928;0;0.6908;0.3092;0;0.8176;0.1824;0
0.8012;0.1988;0;0.6788;0.3212;0;0.8096;0.1896;0.0008
0.7936;0.2064;0;0.6688;0.3312;0;0.8;0.1992;0.0008
0.7892;0.2108;0;0.6584;0.3416;0;0.794;0.2052;0.0008
0.782;0.218;0;0.648;0.352;0;0.7888;0.2104;0.0008
0.7752;0.2248;0;0.6384;0.3616;0;0.7808;0.2184;0.0008
0.7688;0.2312;0;0.6308;0.3692;0;0.7732;0.226;0.0008
0.7656;0.2344;0;0.6232;0.3768;0;0.766;0.2332;0.0008
0.7612;0.2388;0;0.6128;0.3872;0;0.7636;0.2356;0.0008
0.7552;0.2448;0;0.604;0.396;0;0.76;0.2392;0.0008
0.7504;0.2496;0;0.5932;0.4068;0;0.7556;0.2436;0.0008
0.746;0.254;0;0.586;0.414;0;0.7516;0.2476;0.0008
0.7412;0.2588;0;0.5768;0.4232;0;0.7496;0.2496;0.0008
0.7392;0.2608;0;0.5684;0.4316;0;0.746;0.2532;0.0008
0.7336;0.2664;0;0.5568;0.4432;0;0.742;0.2572;0.0008
0.7272;0.2728;0;0.5476;0.4524;0;0.7344;0.2648;0.0008
0.7228;0.2772;0;0.5384;0.4616;0;0.7252;0.274;0.0008
