apc 00;apc 10;apc 11;kras 00;kras 10;kras 11;p53 00;p53 10;p53 11
0.9952;0.0048;0;0.9932;0.0068;0;0.9948;0.0052;0
0.9912;0.0088;0;0.9888;0.0112;0;0.9888;0.0112;0
0.9864;0.0136;0;0.9844;0.0156;0;0.9836;0.0164;0
0.9804;0.0196;0;0.9796;0.0204;0;0.9776;0.0224;0
0.9768;0.0232;0;0.9728;0.0272;0;0.9716;0.0284;0
0.972;0.028;0;0.9688;0.0312;0;0.9688;0.0312;0
0.968;0.032;0;0.9624;0.0376;0;0.9652;0.0348;0
0.9628;0.0372;0;0.9584;0.0416;0;0.9588;0.0412;0
0.958;0.042;0;0.9532;0.0468;0;0.9544;0.0456;0
0.952;0.048;0;0.9472;0.0528;0;0.9484;0.0516;0
0.9476;0.0524;0;0.9408;0.0592;0;0.9416;0.0584;0
0.944;0.056;0;0.934;0.066;0;0.9352;0.0648;0
0.938;0.062;0;0.9272;0.0728;0;0.9308;0.0692;0
0.9332;0.0668;0;0.9188;0.0812;0;0.9244;0.0756;0
0.928;0.072;0;0.912;0.088;0;0.918;0.082;0
0.9208;0.0792;0;0.9028;0.0972;0;0.912;0.088;0
0.9184;0.0816;0;0.896;0.104;0;0.904;0.096;0
0.9144;0.0856;0;0.8864;0.1136;0;0.8996;0.1004;0
0.9088;0.0912;0;0.8772;0.1228;0;0.8956;0.1044;0
0.9032;0.0968;0;0.8656;0.1344;0;0.89;0.11;0
0.8992;0.1008;0;0.8568;0.1432;0;0.8876;0.1124;0
0.8944;0.1056;0;0.8476;0.1524;0;0.8844;0.1156;0
0.8892;0.1108;0;0.8372;0.1628;0;0.8808;0.1192;0
0.8816;0.1184;0;0.8264;0.1736;0;0.8776;0.1224;0
0.8736;0.1264;0;0.8168;0.1832;0;0.8776;0.1224;0
0.8652;0.1348;0;0.8052;0.1948;0;0.8736;0.1264;0
0.8588;0.1412;0;0.796;0.204;0;0.8684;0.1316;0
0.8504;0.1496;0;0.7852;0.2148;0;0.864;0.136;0
