time;normal;hipox;imm;tum
1;86;0;0;0
2;71;0;0;0
3;73;0;0;0
4;76;0;0;0
5;80;0;0;0
6;85;0;0;0
7;88;0;0;0
8;89;0;0;0
9;90;0;0;0
10;91;0;0;0
11;92;0;0;0
12;92;0;0;0
13;92;0;0;0
14;94;0;0;0
15;95;0;0;0
16;96;0;0;0
17;97;0;0;0
18;99;0;0;0
19;101;0;0;0
20;102;0;0;0
21;103;0;0;0
22;104;0;0;0
23;106;0;0;0
24;107;0;0;0
25;108;0;0;0
26;109;0;0;0
27;110;0;0;0
28;111;0;0;0
29;112;0;0;0
30;112;0;0;0
31;113;0;0;0
32;114;0;0;0
33;115;0;0;0
34;116;0;0;0
35;117;0;0;0
36;118;0;0;0
37;119;0;0;0
38;120;0;0;0
39;121;0;0;0
40;122;0;0;0
41;123;0;0;0
42;124;0;0;0
43;124;0;0;0
44;125;0;0;0
45;126;0;0;0
46;127;0;0;0
47;128;0;0;0
48;128;0;0;0
49;129;0;0;0
50;129;0;0;0
51;130;0;0;0
52;130;0;0;0
53;130;0;0;0
54;131;0;0;0
55;131;0;0;0
56;132;0;0;0
57;132;0;0;0
58;132;0;0;0
59;133;0;0;0
60;133;0;0;0
61;134;0;0;0
62;134;0;0;0
63;134;0;0;0
64;134;0;0;0
65;134;0;0;0
66;134;0;0;0
67;134;0;0;0
68;134;0;0;0
69;134;0;0;0
70;134;0;0;0
71;134;0;0;0
72;134;0;0;0
73;134;0;0;0
74;134;0;0;0
75;134;0;0;0
76;134;0;0;0
77;134;0;0;0
78;135;0;0;0
79;135;0;0;0
80;135;0;0;0
81;135;0;0;0
82;135;0;0;0
83;135;0;0;0
84;135;0;0;0
85;135;0;0;0
86;135;0;0;0
87;135;0;0;0
88;135;0;0;0
89;135;0;0;0
90;135;0;0;0
91;135;0;0;0
92;135;0;0;0
93;135;0;0;0
94;135;0;0;0
95;136;0;0;0
96;136;0;0;0
97;136;0;0;0
98;136;0;0;0
99;136;0;0;0
100;136;0;0;0
101;135;0;0;0
102;135;0;0;0
103;135;0;0;0
104;135;0;0;0
105;135;0;0;0
106;136;0;0;0
107;136;0;0;0
108;136;0;0;0
109;136;0;0;0
110;136;0;0;0
111;136;0;0;0
112;136;0;0;0
113;136;0;0;0
114;136;0;0;0
115;136;0;0;0
116;137;0;0;0
117;137;0;0;0
118;137;0;0;0
119;137;0;0;0
120;137;0;0;0
121;137;0;0;0
122;137;0;0;0
123;137;0;1;0
124;137;0;1;0
125;137;0;1;0
126;137;0;1;0
127;137;0;1;0
128;137;0;2;0
129;137;0;2;0
130;137;0;2;0
131;137;0;2;0
132;137;0;2;0
133;137;0;2;0
134;137;0;3;0
135;137;0;3;0
136;138;0;3;0
137;138;0;3;0
138;138;0;3;0
139;138;0;3;0
140;138;0;3;0
141;138;0;3;0
142;138;0;3;0
143;138;0;3;0
144;138;0;3;0
145;138;0;3;0
146;138;0;3;0
147;138;0;3;0
148;138;0;3;0
149;138;0;3;0
150;138;0;3;0
151;138;1;3;0
152;138;1;3;0
153;138;1;3;0
154;138;1;3;0
155;139;1;3;0
156;139;1;3;0
157;139;1;3;0
158;139;1;3;0
159;139;1;3;0
160;139;1;3;0
161;140;1;4;0
162;140;1;4;0
163;140;1;4;0
164;140;1;4;0
165;140;1;4;0
166;140;1;4;0
167;141;1;5;0
168;141;1;5;0
169;141;1;5;0
170;141;1;5;0
171;141;1;6;0
172;141;1;6;0
173;142;1;6;0
174;142;1;6;0
175;142;1;6;0
176;142;1;6;0
177;142;1;7;0
178;142;1;7;0
179;142;1;8;0
180;143;1;8;0
181;143;1;9;0
182;143;1;9;0
183;143;1;9;0
184;143;2;10;0
185;143;2;10;0
186;144;2;11;0
187;144;2;11;0
188;144;2;11;0
189;144;2;11;0
190;144;2;11;0
191;144;2;11;0
192;144;2;12;0
193;144;2;12;0
194;144;2;12;0
195;145;2;12;0
196;145;2;12;0
197;145;2;12;0
198;145;2;12;0
199;145;2;12;0
200;145;2;12;0
201;145;2;12;0
202;145;2;12;0
203;145;2;12;0
204;145;2;12;0
205;145;2;12;0
206;145;2;12;0
207;145;2;11;0
208;145;2;12;0
209;146;2;12;0
210;146;2;12;0
211;146;2;12;0
212;146;2;12;0
213;146;2;12;0
214;146;2;13;0
215;147;2;13;0
216;147;2;14;0
217;147;2;14;0
218;147;2;15;0
219;147;2;15;0
220;148;2;16;0
221;148;2;16;0
222;148;2;17;0
223;148;2;17;0
224;148;2;17;0
225;148;2;17;0
226;149;2;18;0
227;149;2;18;0
228;149;2;18;0
229;149;2;18;0
230;149;2;18;0
231;149;3;18;0
232;149;3;19;0
233;150;3;19;0
234;150;3;19;0
235;150;3;19;0
236;150;3;20;0
237;150;3;20;0
238;151;3;21;0
239;151;3;21;0
240;151;3;21;0
241;151;3;22;0
242;151;3;22;0
243;152;3;23;0
244;152;3;24;0
245;152;3;24;0
246;152;3;25;0
247;152;3;26;0
248;152;4;26;0
249;152;4;27;0
250;152;4;27;0
251;152;4;28;0
252;152;4;28;0
253;153;4;29;0
254;153;4;29;0
255;153;4;29;0
256;153;4;29;0
257;153;4;29;0
258;153;4;29;0
259;153;4;29;0
260;153;4;29;0
261;153;4;29;0
262;153;4;29;0
263;154;4;29;0
264;154;4;29;0
265;154;4;29;0
266;154;4;29;0
267;154;4;29;0
268;154;4;29;0
269;155;4;29;0
270;155;4;30;0
271;155;4;30;0
272;155;4;30;0
273;155;4;30;0
274;155;4;30;0
275;155;4;30;0
276;156;4;30;0
277;156;4;31;0
278;156;4;31;0
279;156;4;31;0
280;156;4;31;0
281;156;4;31;0
282;156;4;31;0
283;156;4;31;0
284;156;4;31;0
285;157;4;31;0
286;157;4;31;0
287;157;4;31;0
288;157;4;31;0
289;157;4;31;0
290;157;4;31;0
291;157;4;31;0
292;157;4;31;0
293;157;4;31;0
294;157;4;30;0
295;157;4;30;0
296;157;4;30;0
297;158;4;30;0
298;158;4;30;0
299;158;4;30;0
300;158;4;30;0
301;158;4;30;0
302;158;4;30;0
303;158;4;30;0
304;158;4;30;0
305;158;4;30;0
306;158;4;30;0
307;158;4;29;0
308;158;4;29;0
309;159;4;29;0
310;159;4;29;0
