height;cells
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
0;0
85;0
0;0
0;0
0;0
0;0
91;0
0;0
58;0
0;0
88;0
67;0
82;0
0;0
88;0
55;0
79;0
0;0
0;0
0;0
97;0
76;0
82;0
0;0
0;0
0;0
64;0
103;0
55;0
82;0
94;0
91;0
0;0
70;0
0;0
0;0
0;0
49;0
0;0
49;0
0;0
0;0
0;0
91;0
52;0
79;0
0;0
0;0
0;0
0;0
0;0
0;0
112;0
97;0
106;0
97;0
0;0
0;0
58;0
82;0
49;0
73;0
85;0
82;0
58;0
94;0
0;0
58;0
100;0
0;0
0;0
0;0
43;0
91;0
0;0
0;0
0;0
0;0
52;0
94;0
55;0
0;0
0;0
67;0
0;0
79;0
70;0
88;0
0;0
0;0
85;0
0;0
76;0
277;0
55;0
52;0
85;0
79;0
0;0
0;0
0;0
94;0
55;0
88;0
283;0
0;0
0;0
0;0
55;0
0;0
0;0
79;0
91;0
55;0
0;0
67;0
61;0
292;0
0;0
0;0
82;0
58;0
0;0
58;0
85;0
82;0
79;0
58;0
55;0
280;0
46;0
46;0
97;0
46;0
79;0
61;0
67;0
0;0
52;0
0;0
0;0
70;0
0;0
0;0
91;0
0;0
91;0
100;0
0;0
97;0
94;0
79;0
0;0
61;0
115;0
0;0
91;0
61;0
64;0
0;0
70;0
0;0
0;0
0;0
103;0
0;0
79;0
109;0
61;0
0;0
0;0
97;0
64;0
64;0
58;0
58;0
0;0
70;0
0;0
0;0
85;0
52;0
0;0
55;0
79;0
58;0
61;0
100;0
64;0
0;0
0;0
0;0
61;0
52;0
94;0
82;0
0;0
82;0
0;0
0;0
0;0
0;0
283;0
64;0
64;0
0;0
0;0
67;0
79;0
67;0
100;0
97;0
49;0
61;0
115;0
82;0
0;0
97;0
106;0
0;0
0;0
82;0
64;0
0;0
0;0
85;0
55;0
61;0
0;0
85;0
55;0
52;0
58;0
0;0
103;0
73;0
82;0
49;0
88;0
61;0
64;0
0;0
0;0
40;0
106;0
103;0
61;0
49;0
61;0
73;0
0;0
97;0
112;0
64;0
118;0
94;0
0;0
55;0
61;0
64;0
82;0
94;0
58;0
73;0
91;0
88;0
85;0
49;0
