TIME;N-cell;Ip-cell;Im-cell;T-cell
1;76;0;0;0
2;65;0;0;0
3;68;0;0;0
4;73;0;0;0
5;77;0;0;0
6;82;0;0;0
7;84;0;0;0
8;86;0;0;0
9;87;0;0;0
10;88;0;0;0
11;90;0;0;0
12;91;0;0;0
13;92;0;0;0
14;94;0;0;0
15;95;0;0;0
16;97;0;0;0
17;99;0;0;0
18;101;0;0;0
19;102;0;0;0
20;104;0;0;0
21;105;0;0;0
22;107;0;0;0
23;108;0;0;0
24;110;0;0;0
25;111;0;0;0
26;113;0;0;0
27;114;0;0;0
28;115;0;0;0
29;116;0;0;0
30;117;0;0;0
31;118;0;0;0
32;119;0;0;0
33;119;0;0;0
34;120;0;0;0
35;121;0;0;0
36;121;0;0;0
37;122;0;0;0
38;123;0;0;0
39;123;0;0;0
40;124;0;0;0
41;125;0;0;0
42;125;0;0;0
43;126;0;0;0
44;126;0;0;0
45;127;0;0;0
46;127;0;0;0
47;128;0;0;0
48;128;0;0;0
49;128;0;0;0
50;129;0;0;0
51;129;0;0;0
52;129;0;0;0
53;130;0;0;0
54;130;0;0;0
55;131;0;0;0
56;131;0;0;0
57;131;0;0;0
58;131;0;0;0
59;132;0;0;0
60;132;0;0;0
61;132;0;0;0
62;132;0;0;0
63;132;0;0;0
64;132;0;0;0
65;133;0;0;0
66;133;0;0;0
67;133;0;0;0
68;133;0;0;0
69;134;0;0;0
70;134;0;0;0
71;133;0;0;0
72;134;0;0;0
73;134;0;0;0
74;134;0;0;0
75;134;0;0;0
76;134;0;0;0
77;134;0;0;0
78;134;0;0;0
79;135;0;0;0
80;135;0;0;0
81;135;0;0;0
82;135;0;0;0
83;135;0;0;0
84;135;0;0;0
85;135;0;0;0
86;134;0;0;0
87;134;0;0;0
88;134;0;0;0
89;134;0;0;0
90;134;0.25;0;0
91;135;0.25;0;0
92;134;0.25;0;0
93;135;0.25;0;0
94;135;0.25;0;0
95;135;0.25;0;0
96;135;0.25;0.25;0
97;135;0.25;0.25;0
98;135;0.25;0.25;0
99;135;0.25;0.25;0
100;135;0.25;0.25;0
101;135;0.25;0.25;0
102;135;0.25;0.25;0
103;135;0.25;0.25;0
104;135;0.25;0.25;0
105;135;0.25;0.25;0
106;135;0.25;0.25;0
107;135;0.5;0.25;0
108;135;0.5;0.25;0
109;135;0.5;0.25;0
110;135;0.5;0.5;0
111;135;0.75;0.5;0
112;134;0.75;0.5;0
113;134;0.75;0.5;0
114;134;0.75;0.5;0
115;134;0.75;0.5;0
116;134;1;0.5;0
117;134;1;0.75;0
118;134;1;0.75;0
119;134;1;0.75;0
120;134;1;0.75;0
121;134;1;0.75;0
122;134;1;0.75;0
123;134;1;0.75;0
124;134;1;0.75;0
125;134;1.25;0.75;0
126;134;1.25;0.75;0
127;134;1.25;0.75;0
128;133;1.25;1;0
129;133;1.25;1;0
130;133;1.5;1;0
131;133;1.5;1;0
132;133;1.5;1;0
133;133;1.5;1;0
134;133;1.5;1;0
135;133;1.75;1.25;0
136;133;2;1.25;0
