time;N-cell
1;79
2;65
3;67
4;71
5;75
6;79
7;81
8;84
9;84
10;86
11;87
12;88
13;90
14;92
15;95
16;96
17;98
18;100
19;102
20;104
21;106
22;107
23;109
24;110
25;111
26;112
27;113
28;114
29;115
30;116
31;117
32;117
33;118
34;119
35;120
36;120
37;121
38;121
39;122
40;123
41;123
42;124
43;124
44;125
45;125
46;126
47;126
48;127
49;127
50;127
51;128
52;129
53;129
54;130
55;130
56;130
57;131
58;131
59;132
60;132
61;132
62;132
63;132
64;133
65;133
66;133
67;133
68;133
69;133
70;134
71;134
72;134
73;134
74;134
75;134
76;134
77;134
78;134
79;134
80;134
81;134
82;134
83;135
84;135
85;135
86;135
87;135
88;135
89;135
90;135
91;135
92;135
93;135
94;135
95;136
96;136
97;136
98;136
99;136
100;136
101;136
102;136
103;136
104;136
105;136
106;137
107;137
108;137
109;137
110;137
111;137
112;137
113;137
114;137
115;137
116;137
117;137
118;137
119;137
120;137
121;137
122;137
123;137
124;137
125;137
126;137
127;137
128;137
129;137
130;137
131;138
132;138
133;138
134;138
135;138
136;138
137;138
138;138
139;138
140;138
141;137
142;137
143;138
144;138
145;138
146;138
147;138
148;138
149;138
150;138
151;138
152;138
153;138
154;138
155;138
156;138
157;138
158;138
159;138
160;138
161;138
162;138
163;138
164;138
165;138
166;138
167;138
168;138
169;138
170;138
171;138
172;138
173;138
174;138
175;138
176;138
177;138
178;138
179;138
180;138
181;138
182;138
183;138
184;138
185;138
186;138
187;138
188;138
189;138
190;138
191;138
192;139
193;139
194;139
195;139
196;139
197;139
198;139
199;139
200;139
201;138
202;138
203;138
204;138
205;138
206;138
207;138
208;138
209;138
210;138
211;138
212;138
213;138
214;138
215;138
216;139
217;139
218;139
219;138
220;139
221;139
222;139
223;139
224;139
225;139
226;139
227;139
228;139
229;139
230;139
231;139
232;139
233;139
234;139
235;139
236;139
237;139
238;139
239;139
240;139
241;139
242;139
243;139
244;139
245;139
246;139
247;139
248;139
249;139
250;139
251;139
252;139
253;139
254;139
255;139
256;139
257;139
258;139
259;139
260;139
261;139
262;139
263;139
264;139
265;139
266;139
267;139
268;139
269;139
270;139
271;139
272;139
273;139
274;139
275;139
276;139
277;139
278;139
279;139
280;139
281;139
282;139
283;139
284;139
285;139
286;139
287;139
288;139
289;139
290;139
291;139
292;139
293;139
294;139
295;139
296;139
297;139
298;139
299;139
300;139
301;139
302;139
303;139
304;139
305;139
306;139
307;139
308;139
309;139
310;139
311;139
312;139
313;139
314;139
315;139
316;139
317;139
318;139
319;139
320;139
321;139
322;139
323;139
324;139
325;139
326;139
327;139
328;139
329;139
330;139
331;139
332;139
333;139
334;139
335;139
336;139
337;139
338;139
339;139
340;139
341;139
342;139
343;139
344;139
345;139
346;139
347;139
348;139
349;139
350;139
351;139
352;139
353;139
354;139
355;139
356;139
357;139
358;139
359;139
360;139
361;139
362;139
363;139
364;139
365;139
366;139
367;139
368;139
369;139
370;139
371;139
372;139
373;139
374;139
375;139
376;139
377;139
378;139
379;139
380;139
381;139
382;139
383;139
384;139
385;139
386;139
387;139
388;139
389;139
390;139
391;139
392;139
393;139
394;139
395;139
396;139
397;139
398;139
399;139
400;139
401;139
402;139
403;139
404;139
405;139
406;139
407;139
408;139
409;139
410;139
411;139
412;139
413;139
414;139
415;139
416;139
417;139
418;139
419;139
420;139
421;139
422;139
423;139
424;139
425;139
426;139
427;139
428;139
429;139
430;139
431;139
432;139
433;139
434;139
435;139
436;139
437;139
438;139
439;139
440;139
441;139
442;139
443;139
444;139
445;139
446;139
447;139
448;139
449;139
450;139
451;139
452;139
453;139
454;139
455;139
456;139
457;139
458;139
459;139
460;139
461;139
462;139
463;139
464;139
465;139
466;139
467;139
468;139
469;139
470;139
471;139
472;139
473;139
474;139
475;139
476;139
477;139
478;139
479;139
480;139
481;139
482;139
483;139
484;139
485;139
486;139
487;139
488;139
489;139
490;139
491;139
492;139
493;139
494;139
495;139
496;139
497;139
498;139
499;139
500;139
501;139
502;139
503;139
504;139
505;139
506;139
507;139
508;139
509;139
510;139
511;139
512;139
513;139
514;139
515;139
516;139
517;139
518;139
519;139
520;139
521;139
522;139
523;139
524;139
525;139
526;139
527;139
528;139
529;139
530;139
531;139
532;139
533;139
534;139
535;139
536;139
537;139
538;139
539;139
540;139
541;139
542;139
543;139
544;139
545;139
546;139
547;139
548;139
549;139
550;139
551;140
552;140
553;140
554;140
555;140
556;140
557;140
558;140
559;140
560;140
561;140
562;140
563;140
564;140
565;140
566;140
567;140
568;140
569;140
570;140
571;140
572;140
573;140
574;140
575;140
576;140
577;140
578;140
579;140
580;140
581;140
582;140
583;140
584;140
585;140
586;140
587;140
588;140
589;140
590;140
591;140
592;140
593;140
594;140
595;140
596;140
597;140
598;140
599;140
600;140
601;140
602;140
603;140
604;140
605;140
606;140
607;140
608;140
609;140
610;140
611;140
612;140
613;140
614;140
615;140
616;140
617;140
618;140
619;140
620;140
621;140
622;140
623;140
624;140
625;140
626;140
627;140
628;140
629;140
630;140
631;140
632;140
633;140
634;140
635;140
636;140
637;140
638;140
639;140
640;140
641;140
642;140
643;140
644;140
645;140
646;140
647;140
648;140
649;140
650;140
651;140
652;140
653;140
654;140
655;140
656;140
657;140
658;140
659;140
660;140
661;140
662;140
663;140
664;140
665;140
666;140
667;140
668;140
669;140
670;140
671;140
672;140
673;140
674;140
675;140
676;140
677;140
678;140
679;140
680;140
681;140
682;140
683;140
684;140
685;140
686;140
687;140
688;140
689;140
690;140
691;140
692;140
693;140
694;140
695;140
696;140
697;140
698;140
699;140
700;140
701;140
702;140
703;140
704;140
705;140
706;140
707;140
708;140
709;140
710;140
711;140
712;140
713;140
714;140
715;140
716;140
717;140
718;140
719;140
720;140
721;140
722;140
723;140
724;140
725;140
726;140
727;140
728;140
729;140
730;140
731;140
732;140
733;140
734;140
735;140
736;140
737;140
738;140
739;140
740;140
741;140
742;140
743;140
744;140
745;140
746;140
747;140
748;140
749;140
750;140
751;140
752;140
753;140
754;140
755;140
756;140
757;140
758;140
759;140
760;140
761;140
762;140
763;140
764;140
765;140
766;140
767;140
768;140
769;140
770;140
771;140
772;140
773;140
774;140
775;140
776;140
777;140
778;140
779;140
780;140
781;140
782;140
783;140
784;140
785;140
786;140
787;140
788;140
789;140
790;140
791;140
792;140
793;140
794;140
795;140
796;140
797;140
798;140
799;140
800;140
801;140
802;140
803;140
804;140
805;140
806;140
807;140
808;140
809;140
810;140
811;140
812;140
813;140
814;140
815;140
816;140
817;140
818;140
819;140
820;140
821;140
822;140
823;140
824;140
825;140
826;140
827;140
828;140
829;140
830;140
831;140
832;140
833;140
834;140
835;140
836;140
837;140
838;140
839;140
840;140
841;140
842;140
843;140
844;140
845;140
846;140
847;140
848;140
