transit;diff;pre;ade;tum;imm
833;1617;0;0;0;0
826;1624;0;0;0;0
821;1629;0;0;0;0
812;1638;0;0;0;0
791;1659;0;0;0;0
784;1666;2;0;0;0
797;1653;2;0;0;0
796;1654;2;0;0;0
795;1655;2;0;0;0
797;1653;2;0;0;0
801;1649;3;0;0;0
805;1645;3;0;0;0
809;1641;3;0;0;0
813;1637;3;0;0;0
820;1630;3;0;0;0
803;1647;3;0;0;0
805;1645;3;0;0;0
813;1637;3;0;0;0
816;1634;3;0;0;0
806;1644;3;0;0;0
801;1649;3;0;0;0
792;1658;4;0;2;0
789;1661;4;0;2;0
785;1665;4;2;2;0
791;1659;4;2;2;0
782;1668;11;2;2;0
784;1667;14;2;4;0
779;1672;14;3;4;0
781;1670;15;5;11;0
793;1658;14;5;11;0
781;1668;14;9;11;0
784;1665;14;11;14;0
793;1657;13;14;23;0
787;1662;13;17;23;0
779;1673;12;20;23;0
778;1672;12;21;23;0
785;1666;11;18;84;10
789;1660;11;15;64;15
795;1654;9;15;77;15
798;1650;8;19;72;15
795;1651;8;20;66;15
791;1656;8;20;63;15
801;1650;7;21;61;15
800;1646;7;20;59;15
812;1636;5;21;224;60
817;1626;6;19;250;84
816;1627;4;19;181;88
834;1611;4;13;122;79
829;1616;3;10;84;75
830;1616;2;8;59;75
841;1608;2;6;39;75
839;1611;1;5;27;75
834;1616;1;9;173;75
836;1614;1;8;149;72
830;1616;1;8;130;66
825;1622;0;8;121;28
812;1635;0;9;120;4
806;1638;0;17;120;0
817;1628;0;21;138;0
822;1625;0;19;445;70
834;1610;0;16;704;180
837;1604;0;8;412;210
843;1602;0;6;197;215
848;1597;0;5;55;215
850;1601;0;0;7;215
830;1618;0;1;1;215
830;1620;0;1;0;215
818;1632;0;1;1;215
826;1624;0;0;6;215
815;1635;0;0;5;215
814;1636;0;2;3;145
813;1637;0;2;3;35
809;1641;0;2;3;5
806;1645;0;1;5;0
800;1650;0;6;7;0
791;1657;0;8;25;0
804;1646;0;9;28;0
801;1649;0;11;28;0
806;1643;0;11;28;0
809;1642;0;15;35;0
812;1636;0;21;35;0
814;1635;0;22;37;0
804;1645;0;19;167;40
814;1632;0;20;115;45
806;1642;0;20;88;45
818;1626;0;19;71;45
805;1643;0;17;64;45
812;1638;0;13;58;45
811;1639;0;12;61;45
807;1643;0;11;243;165
812;1639;0;3;31;165
809;1642;0;0;9;165
802;1648;0;0;1;163
804;1646;0;0;1;124
797;1653;0;0;2;120
802;1648;3;3;2;120
809;1641;3;3;2;120
821;1629;2;4;2;120
831;1618;2;5;1;120
829;1621;2;5;4;120
829;1621;3;5;6;0
831;1619;3;5;6;0
823;1627;3;5;6;0
820;1630;3;7;8;0
817;1633;3;10;8;0
819;1631;4;10;8;0
812;1638;4;13;13;0
803;1648;4;15;24;0
801;1649;4;17;48;5
808;1642;4;25;41;5
814;1634;4;30;40;5
811;1640;4;33;38;5
810;1638;5;33;49;5
817;1631;5;31;58;10
819;1633;3;30;62;10
818;1632;3;29;136;15
828;1621;3;27;121;20
824;1619;4;33;193;25
832;1612;2;40;174;30
839;1611;2;50;153;25
835;1608;2;60;272;40
837;1601;1;61;232;40
841;1594;1;59;218;37
845;1597;1;52;434;132
854;1586;1;42;251;128
834;1599;0;34;158;132
846;1598;0;25;260;146
854;1591;0;14;294;168
847;1594;0;7;234;176
859;1587;0;4;125;171
836;1608;0;3;47;167
831;1618;0;1;33;165
825;1623;0;2;14;154
825;1624;1;0;5;153
834;1616;0;2;7;70
833;1617;0;4;13;69
829;1621;0;3;11;65
816;1633;0;4;8;45
806;1644;0;10;7;15
803;1646;0;12;22;5
814;1634;2;12;22;5
828;1624;4;17;39;5
840;1612;6;17;39;0
833;1617;5;19;35;5
823;1627;5;13;48;10
834;1613;5;18;39;10
836;1615;5;23;38;10
841;1609;5;29;86;20
832;1616;3;35;141;25
841;1604;3;35;126;25
834;1615;4;31;120;25
827;1619;8;30;125;25
837;1615;8;27;141;25
826;1622;8;28;200;25
829;1616;6;28;193;19
819;1626;6;25;644;175
819;1615;4;21;313;198
813;1627;2;12;148;201
807;1637;2;5;48;192
805;1643;0;2;16;190
